Em,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8
251.589,0,0,0,0,0,0,0,0
254.793,0,0,0,0,0,0,0,0
257.998,0,1.17E-18,0,0.014734668,0.002651334,0,3.33E-18,0.018645976
261.205,0,1.30E-19,0,0.019243295,0.003846563,2.59E-18,4.36E-20,0.049797834
264.415,0,1.45E-19,0,0.020021817,0.00446682,0,4.92E-20,0.102519995
267.627,0,1.45E-19,0,0.017851271,0.005076834,0,3.21E-20,0.167888533
270.841,0,1.43E-19,0,0.01625643,0.006454768,0,0,0.325096421
274.057,0,1.89E-19,0,0.021379745,0.010065877,0,0,0.503448674
277.275,0,0,0,0.029403788,0.011993006,2.57E-19,0,0.83978774
280.496,0,0,1.02E-17,0.025882266,0.010727209,9.37E-18,0.046312413,1.216811094
283.718,0,0.004023216,8.20E-18,7.79E-19,0,0.021870001,0.055004194,1.568841662
286.942,0,0.002954987,1.33E-17,2.29E-18,0,0.078906159,0.012949633,2.009631856
290.169,2.01E-18,0,1.36E-17,0,0,0.140535492,8.15E-17,2.106074471
293.397,1.00E-17,1.00E-18,1.01E-17,0,0,0.176883195,8.61E-17,2.361244476
296.628,5.37E-18,0,7.46E-18,0,5.91E-18,0.232412888,8.82E-17,2.431267059
299.86,0,0,4.62E-18,0,0,0.296362265,8.41E-17,2.69637149
303.095,1.27E-18,8.01E-19,2.83E-18,0,0,0.293065582,0.181114777,2.799399418
306.331,2.78E-18,0,0,0.158996138,0.001449856,0.197356763,0.218140303,3.323172095
309.569,3.19E-18,0,0,0.278237688,0.001027584,0.082588006,0.409873705,3.088355348
312.81,4.13E-20,9.75E-18,0,0.297293963,0,0.05207785,0.589975492,3.056379633
316.052,0,0,4.61E-20,0.37355011,0,0.063294561,0.597858241,3.102232064
319.296,0,0,1.73E-19,0.320862093,0,0.071201077,0.900914122,2.894458823
322.542,0,1.60E-17,0.001153042,0.228882019,0,1.51E-18,1.754524555,1.792587053
325.79,0,8.52E-18,0.028046617,0.084325106,0,0,2.319570085,1.656489342
329.039,0,1.05E-18,0.039820616,0.01507406,0,0.122285325,2.638423481,1.553496651
332.291,6.48E-18,1.42E-18,0.064609859,0.053570791,0,0.2042865,2.781767249,1.128384628
335.544,0,0,0.099557175,1.08E-17,0,0.25302882,3.204581521,0.661889308
338.799,0,0,0.138698116,0,3.12E-18,0.425979962,3.347722297,0.357975702
