Date,Ebro_Arroyo,Uderrera_Eraul,Estella_Ega,Ega,Tiron_SanMigueldePedroso,Arlanzon_Uzquiza,Bernesga_Villamanin,Carrion_Compuerto,Cea_VillaverdedeArcayos,Curueno_CaldasdeNocedo,Duero_CuerdadelPozo,Esla_Riano,Luna_Barrios,Omana_LasOmana,Aguilar_Pisuerga,Pisuerga_Requejada,Porma_Emb,Deva_Puentelles,Narcea_LaBarca,LaCohilla_Nansa,Nalon_ElCondado,Sella_CangasdeOnis,Nansa_PuentePumar
1/1/17,4.91,1.718541667,2.011458333,0.292916667,0.34,0.879,2.006,1.021,0.432,0.924,2.065,4.533,2.148,1.297,3.913,0.837,3.31,2.28,3.4,0.83,2.51,4.18,0.219513889
1/2/17,4.91,1.682083333,1.996041667,0.313958333,0.34,0.843,1.99,1.019,0.436,0.902,2.065,4.527,2.382,1.373,3.913,0.836,3.321,2.22,3.4,0.83,2.51,4.16,0.222708333
1/3/17,4.91,1.63375,1.963333333,0.329583333,0.34,0.81,1.925,1.019,0.441,0.885,2.076,4.517,1.708,1.342,3.911,0.821,3.321,2.12,11.9,0.83,2.48,4.45,0.224791667
1/4/17,4.91,1.574166667,1.91,0.335833333,0.314375,0.858,1.87,1.018,0.471,0.865,2.087,4.53,0.93,1.321,3.892,0.808,3.326,2.08,3.4,0.83,2.51,4.54,0.215729167
1/5/17,4.91,1.447083333,1.864375,0.417291667,0.28,0.827,1.856,1.013,0.482,0.852,2.092,4.53,0.942,1.291,3.892,0.806,3.332,2.08,3.5,0.82,2.44,4.21,0.239583333
1/6/17,5.018333333,1.409166667,1.823645833,0.414479167,0.28,0.811,1.762,1.021,0.491,0.832,2.087,4.536,0.973,1.252,3.89,0.805,3.324,2.08,3.5,0.84,2.33,3.93,0.210416667
1/7/17,5.11,1.335,1.770208333,0.435208333,0.28,0.817,1.664,1.024,0.432,0.803,2.082,4.524,0.954,1.206,3.891,0.801,3.325,1.95,3.5,0.83,2.36,3.86,0.186180556
1/8/17,5.11,1.3096875,1.7521875,0.4425,0.28,0.832,1.615,1.022,0.4,0.783,2.08,4.512,0.953,1.19,3.897,0.796,3.326,1.91,3.5,0.83,2.51,3.77,0.1915625
1/9/17,5.097708333,1.2609375,1.729375,0.4684375,0.28,0.806,1.575,1.022,0.381,0.767,1.894,4.512,1.037,1.216,3.546,0.792,3.325,1.91,9.6,0.83,2.51,4.03,0.184895833
1/10/17,5.11,1.341979167,1.834375,0.492395833,0.28,0.79,1.828,1.02,0.409,0.783,1.749,4.506,1.139,1.194,3.937,0.787,3.31,2.54,3.5,0.82,2.51,9.26,0.286493056
1/11/17,2.703958333,27.64291667,34.67479167,7.031875,0.28,0.775,2.706,1.013,0.412,1.139,1.689,4.505,1.139,1.171,3.955,0.781,3.305,7.4,9.6,0.63,2.72,27.95,0.663958333
1/12/17,1.18,19.35416667,25.01395833,5.659791667,0.28,0.831,2.405,1.015,0.43,1.311,1.592,4.511,1.139,1.158,3.957,0.782,3.316,5.7,3.5,0.64,2.83,17.67,0.442604167
1/13/17,1.18,11.26770833,13.66895833,2.40125,0.28,0.857,2.511,1.027,0.411,1.257,1.602,4.516,1.219,1.147,3.969,0.777,3.325,7.22,3.6,0.64,2.77,20.73,0.427534722
1/14/17,1.098125,10.53229167,13.874375,3.342083333,0.28,0.88,2.321,1.028,0.388,1.226,1.601,4.528,1.294,1.138,3.974,0.777,3.302,7.97,6.7,0.65,2.88,29.41,0.437465278
1/15/17,1.09,18.45520833,25.69041667,7.235208333,0.33125,0.843,2.298,1.031,0.409,1.164,1.61,4.518,1.295,1.138,3.878,0.772,3.305,9.45,3.6,0.65,2.92,34.61,0.659618056
1/16/17,1.1096875,53.10625,91.70697917,38.60072917,0.34,0.846,2.914,1.022,0.408,1.106,1.641,4.516,1.221,1.136,4.019,0.769,3.304,14.84,8.2,0.58,7.47,68.35,2.4603125
1/17/17,1.1715625,84.50520833,155.3083333,70.803125,0.549270833,0.857,7.858,1.017,0.405,1.247,1.672,4.317,1.108,1.131,4.219,0.774,3.295,30.92,13.9,0.44,32.78,106.01,8.507048611
1/18/17,1.09,40.88229167,64.16791667,23.285625,0.64875,0.887,5.718,1.025,0.463,1.57,1.663,4.045,1.085,1.115,4.238,0.78,3.056,13.9,10.4,0.45,44.7,49.81,2.279375
1/19/17,1.101041667,20.53229167,28.84166667,8.309375,0.61,0.89,4.378,1.03,0.465,1.445,1.651,4.044,1.082,1.034,4.233,0.778,2.623,7.96,24.2,0.96,42.19,25.2,1.334270833
1/20/17,1.09,13.50208333,18.6046875,5.102604167,0.561875,0.86,3.766,1.015,0.405,1.326,1.66,4.045,1.081,1.697,4.249,0.777,2.616,6.02,27.4,2.26,43.46,17.91,1.007986111
1/21/17,1.09,10.32895833,14.03895833,3.71,0.5,0.847,3.464,1.013,0.415,1.246,1.668,4.026,1.114,1.119,4.275,0.775,2.633,5.17,10.4,3,10.33,13.08,0.915034722
1/22/17,1.09,8.600208333,11.58614583,2.9859375,0.5,0.837,3.211,1.018,0.422,1.192,1.675,4.023,1.145,1.05,4.275,0.775,2.628,4.66,10.4,2.96,2.69,10.89,0.810590278
1/23/17,1.09,7.336145833,10.00833333,2.6721875,0.457604167,0.828,3.03,1.015,0.415,1.131,1.677,4.022,1.094,1.03,4.278,0.773,2.621,4.25,3.6,3.74,2.53,9.89,0.722083333
1/24/17,1.416770833,6.5828125,8.87125,2.2884375,0.39,0.882,2.845,1.017,0.371,1.083,1.68,4.022,1.176,1.068,4.278,0.773,2.623,3.93,10.8,4.34,7.52,9.39,0.654791667
1/25/17,1.176041667,6.0521875,8.235,2.1828125,0.39,0.759,2.773,1.015,0.365,1.046,1.683,4.024,1.219,1.367,4.277,0.755,2.626,3.83,3.6,4.38,7.93,8.88,0.59875
1/26/17,1.115520833,5.7575,7.715,1.9575,0.39,0.821,2.762,1.014,0.375,1.043,1.671,4.031,1.198,1.001,4.277,0.752,2.62,3.78,3.6,2.58,7.35,8.59,0.6184375
1/27/17,1.184166667,5.520416667,7.300208333,1.779791667,0.39,0.886,2.939,1.025,0.547,2.237,1.652,4.043,1.174,1.165,4.278,0.758,2.618,3.62,13.6,2.37,5.66,9.3,0.830729167
1/28/17,1.085104167,8.094270833,10.081875,1.987604167,0.39,0.849,2.698,1.016,0.619,2.273,1.65,4.043,1.218,1.167,4.279,0.759,2.625,3.52,8.7,2.38,2.41,8.5,0.740520833
1/29/17,1.09,8.2459375,9.967395833,1.721458333,0.349895833,0.829,2.8,1.01,0.588,1.997,1.661,4.042,1.201,1.165,4.281,0.757,2.624,3.29,3.71,2.37,2.37,7.99,0.879270833
1/30/17,1.09,8.0121875,9.687083333,1.674895833,0.347291667,0.869,3.513,1.005,0.602,2.142,1.651,4.109,1.206,1.506,4.275,0.765,2.626,4.39,12.5,2.37,2.35,15.55,2.194166667
1/31/17,1.09,10.3753125,11.99125,1.6159375,0.5825,0.86,6.051,1.002,1.446,2.346,1.671,4.37,1.238,2.198,4.443,0.777,2.628,7.44,8.5,2.36,2.45,21.85,2.778611111
2/1/17,1.080208333,11.01427083,12.47447917,1.460208333,0.61,0.82,6.911,1.001,1.484,3.022,1.679,4.421,1.344,2.436,4.278,0.794,2.676,6.05,21.9,2.36,2.5,16.9,2.126215278
2/2/17,1.09,9.2746875,10.6603125,1.385625,1.536770833,0.856,10.64,1.036,3.846,6.716,1.634,5.548,1.452,4.049,4.146,0.989,2.726,6.75,25.7,2.36,2.38,16.03,3.018923611
2/3/17,1.1275,8.775833333,10.13625,1.360416667,3.546770833,0.812,12.405,1.078,8.199,6.446,1.623,5.851,1.541,7.239,4.158,1.539,2.74,7.84,32.6,2.36,9.7,14.81,4.239791667
2/4/17,1.123958333,7.9059375,9.306354167,1.400416667,9.465833333,0.83,24.455,1.245,20.598,22.324,1.64,8.592,1.952,24.538,4.16,4.112,2.776,14.57,59.8,2.37,14.03,21.31,7.924965278
2/5/17,1.09,11.898125,14.30864583,2.410520833,17.16197917,0.824,18.102,1.134,21.43,12.24,1.678,7.088,1.808,35.736,4.174,3.261,2.76,22.09,116.8,2.38,16.09,35.85,4.916076389
