Stream,X5,X25,X75,X95,1LF,1HF,3LF,3HF,7LF,7HF,30LF,30HF,90LF,90HF,sd1LF,sd1HF,sd3LF,sd3HF,sd7LF,sd7HF,sd30LF,sd30HF,sd90LF,sd90HF,ZFD,BFI,sdZFD,sdBFI
Nansa,2.114761013,1.531139949,0.341612132,0,0.00541908,5.999941911,0.013823153,4.465822157,0.040779022,3.432171963,0.10318222,2.38281415,0.259869055,1.854093259,0.016583984,4.379389844,0.036812168,2.753824747,0.067760894,1.628153428,0.118224056,0.625186535,0.152286293,0.407856999,18.6,0.035159393,16.59189287,0.054884814
Deva,3.075631557,1.213244522,0.243782778,0.094961896,0.091437191,13.89106792,0.095564888,8.549846687,0.099514973,5.54781655,0.118527689,2.928875145,0.16907312,2.055420068,0.042581653,8.049818169,0.04621776,4.499136654,0.046892571,2.42030144,0.054133077,0.954476529,0.070675252,0.641787797,0,0.102070324,0,0.041006551
Sella,3.119289764,1.14025029,0.224748503,0.085964018,0.073874849,17.12447339,0.084253538,9.888328503,0.091741905,6.246388962,0.119633073,3.002884694,0.181908101,1.991411518,0.040463363,7.654168392,0.037260252,3.433841437,0.039655399,2.040652225,0.048419309,0.97489547,0.082820883,0.484274136,0.026315789,0.093971661,0.162221421,0.037354596
Nalon,3.923827552,1.062961981,0.241478334,0.166369107,0.181945338,11.26383691,0.192950671,8.66020921,0.20030113,6.028086901,0.218009048,3.213589918,0.238430726,2.123137744,0.051805631,5.430983629,0.049971213,3.20536671,0.051309887,1.893751506,0.060324878,0.872812875,0.062755695,0.54823415,0,0.21174198,0,0.070710018
Narcea,3.262810344,1.33899276,0.236313282,0.133950877,0.110008466,7.256865813,0.126828154,5.642391746,0.138096429,4.491105024,0.1706142,2.852268238,0.216104489,2.045970623,0.040342116,3.36597106,0.027613686,2.194146707,0.030330848,1.500536318,0.04609193,0.896822015,0.063004577,0.612134956,0.022222222,0.148663287,0.149071198,0.053297216
Duero,2.314830686,1.519737457,0.268722991,0.122922612,0.192905846,4.534155769,0.194526816,4.346523335,0.20131218,3.995651946,0.2290403,2.636912769,0.261953252,2.167349604,0.102138118,3.806231914,0.101933739,3.644992933,0.105304585,3.260821873,0.110732735,1.53686492,0.126311474,0.947638341,0,0.211807349,0,0.115928979
Porma,2.790390126,1.549099139,0.30824077,0.177373636,0.233655655,3.021156111,0.238075206,2.95696586,0.24548928,2.829434749,0.257120131,2.50000911,0.27960949,2.261761135,0.079797206,1.201213449,0.079273817,1.117971765,0.077678104,0.964986631,0.078308503,0.572844901,0.076901365,0.433200571,0,0.263833634,0,0.107313993
Carrion,2.554308195,1.661527287,0.110984133,0.055547838,0.061348013,4.828821044,0.067813231,4.370917928,0.073447447,3.691197373,0.086966298,2.544756425,0.141832141,2.046530489,0.030070056,3.533951257,0.039689675,3.207430243,0.043954263,2.147884959,0.069829706,0.825323552,0.109928318,0.435872267,0,0.077135342,0,0.040125074
Aguilar,2.386877674,1.510403685,0.362722022,0.270999212,0.297334776,3.73894459,0.307829983,3.603205343,0.316650247,3.353854252,0.340238263,2.457039032,0.367982632,2.114966163,0.076353263,2.689872297,0.075703217,2.599638,0.080094817,2.335203076,0.089573166,0.898601096,0.093028816,0.577422449,0,0.329188072,0,0.083243583
Luna,2.951687745,1.828711258,0.175125996,0.10757125,0.09360586,4.042419393,0.110880167,3.737852681,0.120627543,3.344384246,0.148820652,2.653732759,0.205398055,2.286480288,0.059054574,1.641779009,0.054887947,1.477418055,0.056576245,1.063452359,0.072618858,0.438077347,0.1930014,0.308265463,0.035087719,0.135122879,0.185637154,0.083164748
