"ABS.path","BEM.path","SEM.path","run","sample","index","total.fluo","C_alpha_lamdaEm","A_alpha_lamdaEm","M_beta_lamdaEm","B_gamma_lamdaEm","T_delta_lamdaEm","C_alpha_lamdaEx","A_alpha_lamdaEx","M_beta_lamdaEx","B_gamma_lamdaEx","T_delta_lamdaEx","C_alpha_peakheight","A_alpha_peakheight","M_beta_peakheight","B_gamma_peakheight","T_delta_peakheight","FIX","FIX2","HIX","HIX2","beta.alpha","site","replicate","process.replicate","filter","DecAbsCoeff436","DecAbsCoeff430","DecAbsCoeff420","DecAbsCoeff254","slope_classic","slope_lm","slope_short_Loiselle","slope_short_Helms","SR_Loiselle","SR_Helms","E2.to.E3","E4.to.E6"
"/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0001ABS.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0001BEM.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0001SEM.dat","run1",1,1,135.150145532931,420,447,410,306,348,330,260,310,275,270,0.107901072876875,0.206923224995504,0.119770863705084,0.0333706591965009,0.0312853283754153,1.27315159968571,1.60634575478967,7.5661637210891,0.883261628827138,0.772313047918607,"Arlanzon",1,"A",1,0.139092468027765,0.146462828469689,0.160339298111017,2.5492681365904,-0.0149069326096195,-0.0175355153865253,-0.020912943026186,-0.0209166742380803,1.24233979645743,1.24095475780668,6.9768871660925,0.771856734970933
"/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0002ABS.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0002BEM.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0002SEM.dat","run1",2,2,129.127825759399,420,437,414,316,351,330,255,315,270,270,0.102714519764143,0.216358460699296,0.114228513370824,0.0256734675379911,0.0343168416264011,1.32801813913989,1.63056811913056,9.27061158315403,0.902634814693975,0.770065339466336,"Arlanzon",2,"A",1,0.202075420594288,0.207536496661335,0.237588140247535,2.6503644935328,-0.0123390225842957,-0.0158559682127578,-0.0194048709880977,-0.0194612442880226,1.42641624229601,1.45551531921947,6.16507950820248,1.77375338706998
"/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0003ABS.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0003BEM.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0003SEM.dat","run1",3,3,1.88528527222346,463,400,420,306,320,340,250,320,275,270,0.0016139095756051,0.00786044301752303,0.000150600982928086,0.0040917957293774,0,Inf,0.303862594680094,Inf,1,NA,"Blank1",1,"A",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0004ABS.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0004BEM.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0004SEM.dat","run1",4,4,1.55011691075843,424,394,400,300,320,345,255,310,270,270,0.00179283682528295,0.00715063565875498,0.0012636357357534,0,0,NA,0.981091778664505,Inf,1,NA,"Blank1",2,"A",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0005ABS.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0005BEM.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0005SEM.dat","run1",5,5,193.769842984509,420,424,414,316,351,330,250,315,270,275,0.152828230230744,0.275353548650843,0.16471782495276,0.0586514434196077,0.0713801656726925,1.3046611747653,1.6102602768059,4.93039255483863,0.831377098437759,0.762632233794987,"Aguilar",1,"A",1,0.0942451681496822,0.106690044573911,0.135728358899068,3.02582739850566,-0.0210186424387215,-0.0183698260162033,-0.0206533249126267,-0.0208308681410166,0.996922691010206,1.00799605305145,8.15629818391688,40.8943714001773
"/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0006ABS.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0006BEM.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0006SEM.dat","run1",6,6,187.617978200526,424,424,407,316,351,330,250,315,270,275,0.147873153131656,0.260176859897792,0.155864530689417,0.0594882347361184,0.0696927869741999,1.31819647317376,1.7106341597526,5.19816040076974,0.838661806836136,0.777503051616095,"Aguilar",2,"A",1,0.103055479772574,0.116253585089547,0.149340505045584,3.04835825857492,-0.0199383291638739,-0.0181392017963248,-0.0208826037806371,-0.0210715622554992,1.03610753161761,1.05187099858778,7.83823570587542,12.4364425365427
"/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0007ABS.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0007BEM.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0007SEM.dat","run1",7,7,172.037132343086,433,447,414,316,351,330,250,320,270,270,0.144236397106584,0.199731199431677,0.140850446232955,0.011181254410183,0.0144995978798906,1.16603550224233,1.54815006289404,31.4271116960668,0.969161607442167,0.607321431615552,"Tiron",1,"A",1,0.096221243752981,0.110695117133168,0.152713055671715,3.58914183773817,-0.0246389574363069,-0.0168673581020503,-0.0164295937911726,-0.0164860470555461,0.690445980463567,0.687865055748632,7.08185151674229,14.9995971698661
"/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0008ABS.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0008BEM.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0008SEM.dat","run1",8,8,165.283219751795,424,424,420,306,348,330,250,320,280,270,0.139068908094344,0.198569095312615,0.137916246873769,0.0112630831678156,0.0171321676270802,1.12623268983827,1.58119865209409,41.1835920909973,0.976294100373367,0.59354686231461,"Tiron",2,"A",1,0.0975444366701905,0.114974457419591,0.156048126553705,3.59602685465777,-0.0240569542788249,-0.0168414303238671,-0.0162071906976487,-0.0162686307857828,0.680153718610485,0.677680943252876,7.08312112933322,11.5847299233999
"/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0009ABS.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0009BEM.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0009SEM.dat","run1",9,9,405.011885394032,424,447,417,316,351,330,250,320,270,280,0.336355709445412,0.478621293090214,0.337317038824255,0.0579829263988208,0.0932929044799534,1.23452935305415,1.59510737325199,8.60832941924256,0.895923634966417,0.65466519530478,"Cea",1,"A",1,0.512611978228931,0.543028203864551,0.629488891826582,7.43631443106815,-0.0136863732591025,-0.0146823848453497,-0.0148555705480777,-0.0149265725122863,0.873286927059179,0.886990090287002,5.54360966858016,1.27600127860043
"/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0010ABS.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0010BEM.dat","/Users/selinkubilay/Nextcloud/Hydra_Cantabria/Spanien_Dez2017/AqualogData/run1/Group001Sample0010SEM.dat","run1",10,10,392.277065984827,427,424,417,316,351,330,250,320,270,270,0.322737801327296,0.46075902540437,0.323455379546118,0.0561248072200462,0.089672875982383,1.28502876996291,1.51715282221085,8.52483155264841,0.895011266658889,0.672377340447153,"Cea",2,"A",1,0.884744595303075,0.922066529500378,1.00832503685291,7.82695344900591,-0.0109044648354312,-0.0127970590640651,-0.0140263397385888,-0.0140827558209013,1.09084805363393,1.11435187621798,4.59492723292871,1.44339906192856
