Stream,l2,lcv,lca,lkur,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,sdM1,sdM2,sdM3,sdM4,sdM5,sdM6,sdM7,sdM8,sdM9,sdM10,sdM11,sdM12
Nansa,0.440081028,0.440081028,0.188148655,0.091948463,1.257374978,1.370440201,1.483997355,1.715608665,1.549069643,0.984587314,0.608663359,0.223872431,0.371611694,0.545735721,0.790185893,1.120372706,0.465211179,0.668445904,0.626158449,0.657853901,0.600786304,0.448866582,0.31353323,0.257058295,0.258006396,0.34237374,0.479512237,0.572174788
Deva,0.539588609,0.539588609,0.453968684,0.282378984,1.347530432,1.457458873,1.63455657,1.718348438,1.337792524,0.729492113,0.302730598,0.235451383,0.251442018,0.590226577,1.021926389,1.406703847,0.76031584,0.964182813,0.776329623,1.021538219,0.710043063,0.483708215,0.200046458,0.214259972,0.260882346,0.469818753,0.768618019,0.80168111
Sella,0.564842583,0.564842583,0.498507787,0.331067344,1.298620531,1.254946703,1.390530368,1.587493788,1.233473099,0.765982018,0.376111142,0.287738739,0.296750384,0.743629148,1.309125979,1.478002658,0.764734876,0.734780651,0.556549939,0.832191938,0.642936841,0.571277822,0.32145781,0.327444934,0.227320296,0.730490071,0.958260495,0.85313588
Nalon,0.584485435,0.584485435,0.574415518,0.330500119,1.355391722,1.540750134,1.536020006,1.720902625,1.173164626,0.600603224,0.334420619,0.295916211,0.293397322,0.543845929,1.088540604,1.577753148,0.810475736,0.99058937,0.731009459,0.922438111,0.712426013,0.503476486,0.198776813,0.179253636,0.122443981,0.596261527,0.913403464,1.063132036
Narcea,0.521237262,0.521237262,0.399901948,0.180096813,1.626634527,1.773550849,1.465927047,1.473303756,1.089268412,0.648452528,0.339696108,0.255108409,0.268585027,0.548792134,1.087972476,1.477409515,0.893413599,1.065084231,0.714699675,0.699282063,0.512660915,0.39017307,0.152937426,0.151001903,0.099172614,0.376774337,0.691298716,0.763955238
Duero,0.491615326,0.491615326,0.335162665,0.134000503,0.899439463,1.027662571,0.888762255,0.674672594,0.991029479,1.468209061,1.8482027,1.888053023,1.371098803,0.364068926,0.289133518,0.286204603,1.289362598,1.195866882,1.723153748,0.552631984,0.406183201,0.404839275,0.395390485,0.455736135,0.378747341,0.169143176,0.125090684,0.129626569
Porma,0.470422175,0.470422175,0.334898724,0.058733951,0.335005603,0.42798447,0.625198501,0.876714491,0.992699344,1.510107999,2.258533388,2.222241373,1.459494023,0.564620264,0.361478836,0.321233016,0.1884338,0.351683005,0.661976945,0.72970099,0.620806943,0.580827954,0.575930035,0.512912354,0.509949406,0.341360091,0.205655261,0.099067028
Carrion,0.520583402,0.520583402,0.248068175,0.03978483,0.621840273,0.79553918,0.669970341,0.926121186,1.401082448,1.509428059,1.872752438,1.828066386,1.149853497,0.537948248,0.327083966,0.341347638,0.815733264,1.079707757,0.990332058,0.753606361,0.65947644,0.468747323,0.351842035,0.499612133,0.459648491,0.461927505,0.474389109,0.447112106
Aguilar,0.425870938,0.425870938,0.352776029,0.099039694,0.643774258,0.946765988,0.784233907,0.635394445,0.996246779,1.319013832,1.825597821,1.968947559,1.415003766,0.536381962,0.445474598,0.475136606,0.861433101,1.23885956,0.970190267,0.438221148,0.405833795,0.460337327,0.372277656,0.318702427,0.458791325,0.2799455,0.147402316,0.293435423
Luna,0.547430935,0.547430935,0.330163629,0.022325187,0.42286703,0.539206947,0.643599299,0.835762773,1.014175621,1.395509587,2.311468018,2.25266301,1.311062692,0.610100341,0.340095043,0.280504343,0.617759295,0.688762933,0.86418391,0.768798028,0.538883071,0.447232829,0.314660745,0.352482696,0.591781502,0.582029573,0.371651756,0.24587217
Arlanzon,0.446464733,0.446464733,0.466131915,0.372393596,1.360581911,1.386350954,1.118735426,1.206090082,1.002521607,0.902358145,1.058604669,1.185435343,0.893666385,0.59389476,0.559800011,0.768635006,1.404035916,1.535571274,1.153450476,1.160529257,0.871622629,0.555593391,0.432856523,0.577568022,0.38787707,0.241051669,0.294098837,0.634965391
Curueno,0.540897192,0.540897192,0.434383621,0.237366166,1.433902521,1.365450127,1.482069658,1.58019826,1.265322313,0.596446139,0.254509613,0.160250899,0.178070916,0.800641841,1.21828349,1.663574238,0.832844002,0.935421136,0.841774465,0.818387932,0.645651303,0.339485809,0.139404671,0.080087617,0.112341707,0.649823257,0.721981957,1.3097807
Omana,0.532812647,0.532812647,0.430882517,0.252103262,1.54397768,2.159506855,1.340259977,1.430703658,1.113034465,0.736266167,0.375639654,0.216458908,0.18672332,0.446096604,0.748417653,1.6243517,0.973580405,1.646809623,0.598831351,0.813899383,0.693161805,0.293376803,0.202114538,0.155415806,0.154451047,0.388342872,0.645802346,1.136135035
Bernesga,0.555170549,0.555170549,0.403865219,0.20211714,1.384991253,1.433718862,2.07882098,1.838711224,1.184725718,0.479327285,0.168454163,0.10980412,0.120441077,0.536788553,1.210673479,1.522204406,0.679939598,0.73207666,0.912263797,0.635667179,0.42898899,0.35674683,0.049782789,0.042445401,0.071463899,0.707868409,0.527231803,0.96824732
Esla,0.470132112,0.470132112,0.318264636,0.136111498,0.834170913,1.058832871,1.18343745,1.286561065,1.12350899,1.188592263,1.32560581,1.231655137,0.890721669,0.565077838,0.513204545,0.800986215,0.746340346,1.10842588,0.875149487,0.821185213,0.572639735,0.46611276,0.814679812,0.783648067,0.522354132,0.396586743,0.547654593,0.957341454
Cea,0.635927487,0.635927487,0.548054587,0.352063204,1.895848232,2.213693844,1.550718249,1.396884595,0.991419358,0.525639821,0.229094355,0.149090698,0.156597585,0.523620531,0.853442765,1.593302642,1.754056461,1.987368895,1.027200799,1.187138681,0.701003863,0.38278527,0.207856085,0.136487373,0.155387368,0.603565799,0.681920317,1.522539489
Pisuerga,0.466322383,0.466322383,0.246628487,0.102128733,0.884164121,1.390985951,1.201744585,1.396078599,1.216917474,1.141299556,1.231239061,1.330024715,0.95444616,0.502116014,0.347424876,0.434298549,0.767083237,1.239238129,0.812442002,0.981705653,0.735775786,0.544464331,0.407522954,0.379145491,0.358637484,0.399381834,0.348516885,0.453447857
Ebro,0.628607169,0.628607169,0.462879065,0.111450698,0.175849847,0.285547044,0.460606821,0.34132556,0.378101284,1.282303937,3.029292122,2.913916769,1.686278514,0.737889568,0.364910908,0.199989586,0.186159848,0.398601231,0.761867292,0.554454251,0.619398769,0.858025412,1.075563098,0.798568623,0.823949534,0.523730781,0.359511637,0.131921637
Tiron,0.522879539,0.522879539,0.410474604,0.239821139,1.273053103,1.14294445,1.484556353,1.805699596,1.577268481,1.051562435,0.474801861,0.247378733,0.22373129,0.384360166,0.835264151,1.446265078,1.009243784,0.891623928,1.09822505,0.891681411,0.704752324,0.794401348,0.321472246,0.177087063,0.172716561,0.335586174,0.592565566,1.230459643
Ega,0.613543503,0.613543503,0.500186989,0.289964114,1.685977882,2.197986505,2.045882836,1.651117263,0.997154198,0.659681263,0.262672604,0.12995377,0.129296352,0.278564284,0.719448272,1.336925139,1.084969097,1.899956779,1.260810579,0.868548462,0.490814666,0.691398612,0.247370028,0.11990568,0.097783417,0.490898564,0.584267036,1.024995073
