Stream,nPos,Pos,nNeg,Neg,sdnPos,sdPos,sdnNeg,sdNeg,Rev,sdReversals
Nansa,181.2333333,0.736485671,182.5888889,-0.690795318,16.06860293,0.430425021,16.07061438,0.345223382,172.2,18.36572895
Deva,124.0526316,7.747943358,241.1842105,-3.50899721,8.234559239,2.670075626,8.174962644,1.298552121,109.1578947,15.14528972
Sella,145.8157895,13.80808431,219.3947368,-8.296291598,8.279265091,4.949278767,8.343275245,2.880455187,142.7368421,20.73342283
Nalon,172.6923077,7.049338126,191.8717949,-6.080166812,10.9108923,2.653530854,10.31842881,2.386071666,129.3589744,28.39151762
Narcea,178.3222222,9.320369259,186.9,-8.886681459,7.388685727,2.379485061,7.512565232,2.251862696,206.5777778,11.01339864
Duero,175.9130435,0.563289323,189.2608696,-0.537589386,10.12496035,0.404202355,10.2246022,0.385670856,112.2173913,38.22654542
Porma,178.3974359,1.171350448,186.8076923,-1.030069919,6.90459371,0.881924672,6.919285962,0.853631919,91.79487179,56.39997177
Carrion,176.745283,2.492927972,188.4622642,-2.228456466,5.510150285,0.873616237,5.40641451,0.760640563,116.0943396,32.21279258
Aguilar,182.2435897,1.092925306,182.9615385,-1.01882189,7.119165935,0.723657958,7.080723104,0.62389487,97.12820513,43.03864817
Luna,179.8333333,3.628626157,185.3596491,-3.460654389,8.076273304,1.855435825,8.056582483,2.000824759,119.7017544,44.51162164
Arlanzon,173.9473684,0.52717791,186.2894737,-0.395068641,15.28724494,0.59945768,15.03223185,0.382399889,107.6052632,37.04674875
Curueno,122.4090909,1.967427346,241.9848485,-0.856384057,10.18995718,0.90755702,11.16949308,0.443890332,96.36363636,18.07764189
Omana,134.9230769,2.852349799,214.8461538,-1.368700533,27.01145294,1.612422576,31.5966669,0.742412562,87.61538462,19.25503597
Bernesga,114.0882353,1.776703649,249.7941176,-0.79016125,7.866533731,0.740634871,10.2759714,0.346826188,106.7058824,10.43889785
Esla,160.9487179,4.0008343,204.2564103,-2.600309297,18.30688498,3.64411742,18.28137958,1.937089147,110.3333333,26.31422802
Cea,126.140625,2.072202769,239.078125,-0.937011985,14.45863643,1.416508322,14.44014865,0.678669721,101.5,15.17425664
Pisuerga,184.4285714,1.155607876,180.7142857,-1.21307931,11.52962024,0.523916704,11.39031544,0.472954415,124.8571429,21.31498467
Ebro,175.7307692,1.847037047,185.7820513,-1.538718576,13.04538946,0.676936168,12.3009386,0.524529281,80.43589744,35.43251174
Tiron,147.2045455,1.062470929,213.2954545,-0.532996828,15.88924396,0.526870553,18.36900799,0.229726375,78.22727273,10.08974877
Ega,122.7931034,2.11694052,240.2758621,-0.908582059,14.3062906,1.279235725,16.01538669,0.484512012,97.17241379,12.68595671
