,sample,Comp.1,Comp.2,Comp.3,Comp.4,Comp.5,Comp.6,Comp.7,Comp.8
1,apr_run1_10_10,0.198725917,0.217232653,0.209822419,0.219779722,0.213668988,0.164954363,0.161143714,0.087993314
2,apr_run1_3_3,0.171014664,0.196604703,0.173052896,0.185360234,0.178128658,0.12044817,0.123714199,0.075072492
3,apr_run1_4_4,0.161486813,0.186464482,0.169212976,0.191250035,0.173145746,0.106494826,0.113695018,0.063441012
4,apr_run1_5_5,0.889924094,0.988482182,0.813270352,0.694880615,0.96716955,0.627554722,0.547617417,0.083169078
5,apr_run1_6_6,0.861657268,0.958730847,0.788833059,0.695396998,0.939032908,0.601159335,0.529393182,0.04400352
6,apr_run1_7_7,0.181831494,0.187686666,0.193312664,0.175899316,0.188238945,0.148221224,0.152817465,0.117133324
7,apr_run1_8_8,0.175970434,0.183498949,0.186513225,0.174778863,0.187246426,0.145182867,0.148809502,0.071563791
8,apr_run1_9_9,0.204619608,0.223776667,0.215700775,0.224113665,0.2178732,0.15938123,0.159168258,0.095909225
9,apr_run10_1_11,0.491464737,0.614196165,0.373803651,0.412839918,0.499664843,0.334969203,0.327358609,0.154174903
10,apr_run10_10_20,0.230844628,0.235184741,0.216343765,0.272379108,0.217203403,0.209970329,0.212674183,0.026662659
11,apr_run10_2_12,0.467292425,0.594443758,0.361676952,0.402090509,0.474638802,0.317297887,0.312438179,0.146550008
12,apr_run10_3_13,0.239376686,0.238701689,0.247977469,0.251863937,0.236821081,0.223070397,0.212086852,0.073302458
13,apr_run10_4_14,0.227988177,0.230449532,0.236009073,0.248490788,0.227005192,0.204459613,0.20133532,0.071174228
14,apr_run10_5_15,0.858423316,0.942927986,0.766137176,0.649001823,0.900847124,0.600962834,0.52602801,0.02239859
15,apr_run10_6_16,0.807072949,0.898088861,0.724425178,0.639872082,0.855192454,0.55767903,0.544820628,0.057280184
16,apr_run10_7_17,0.220202447,0.266894835,0.197947212,0.224888013,0.243279746,0.152767933,0.191298081,0.098767167
17,apr_run10_8_18,0.207607316,0.257690581,0.191644041,0.227519968,0.232950127,0.140335235,0.174754682,0.090320166
18,apr_run10_9_19,0.237247016,0.246973644,0.226198463,0.277386509,0.219378557,0.230510407,0.210950491,0.027888683
19,apr_run11_1_21,0.189255298,0.222452719,0.189126765,0.20280425,0.197818907,0.14601247,0.136712238,0
20,apr_run11_10_30,0.251484196,0.257160837,0.266881776,0.284853258,0.249272529,0.225744254,0.246054284,0.024473931
21,apr_run11_2_22,0.183182058,0.214261945,0.184053858,0.201507259,0.187276618,0.128936871,0.123615925,0
22,apr_run11_3_23,0.212039571,0.264702103,0.180097914,0.203044427,0.216348214,0.15804263,0.127302293,0
23,apr_run11_4_24,0.203426043,0.253657659,0.171321888,0.190754851,0.211069553,0.153389076,0.142444735,0
24,apr_run11_7_27,0.13655051,0.140280467,0.144687522,0.15496104,0.132314188,0.142165042,0.126795869,0.003933466
25,apr_run11_8_28,0.133027474,0.133745898,0.140691529,0.148200825,0.127327109,0.137282923,0.110691945,0
26,apr_run11_9_29,0.260998192,0.262336653,0.278058447,0.290673292,0.255457462,0.247234768,0.237986485,0.025332832
27,apr_run12_1_31,0.603210177,0.758307051,0.461240231,0.514672505,0.605738046,0.419780055,0.359290968,0.181977863
28,apr_run12_10_40,0.36052754,0.340403544,0.384667555,0.379488754,0.382272251,0.294569872,0.294871497,0.158871663
29,apr_run12_2_32,0.579415641,0.732313221,0.44684106,0.500800361,0.583586144,0.388269344,0.36003963,0.158751678
30,apr_run12_3_33,0.283824645,0.29885777,0.252770501,0.249011407,0.259425777,0.217644592,0.212353013,0.102170289
31,apr_run12_4_34,0.25878526,0.279192196,0.236531093,0.23748,0.244715416,0.193336327,0.200618879,0.08886708
32,apr_run12_5_35,0.212934992,0.211014601,0.220683769,0.203524642,0.219797432,0.180572441,0.173121868,0.139281619
33,apr_run12_6_36,0.2061202,0.204093534,0.214268275,0.186990385,0.21265094,0.179635833,0.192550371,0.140866329
34,apr_run12_7_37,0.474318669,0.472637092,0.468547135,0.512656279,0.453813704,0.369750879,0.375300278,0.185947893
35,apr_run12_8_38,0.447943841,0.451307141,0.443626143,0.488042449,0.432543542,0.35891845,0.332257531,0.061865574
36,apr_run12_9_39,0.371595266,0.34943915,0.395857286,0.383223472,0.39498199,0.31338528,0.293196715,0.132047712
37,apr_run13_1_41,0.345314304,0.381943438,0.372943108,0.319358837,0.377028202,0.252884062,0.229689341,0.084003859
38,apr_run13_10_50,0.370887309,0.365864197,0.356984897,0.342992484,0.349628403,0.354350597,0.302296005,0.136821991
39,apr_run13_2_42,0.334626579,0.368005449,0.356650752,0.311607655,0.368863335,0.241044996,0.231540735,0.062114014
40,apr_run13_3_43,0.972352717,1.06755686,0.872790658,0.734027409,1.016986924,0.700309774,0.520262552,0.023462861
41,apr_run13_4_44,0.91353986,1.018524137,0.818561887,0.723808314,0.96364083,0.640219019,0.500051269,0.021781231
42,apr_run13_5_45,0.209991941,0.193947267,0.217409214,0.261576598,0.199083433,0.258203337,0.41038633,0.268526536
43,apr_run13_6_46,0.195156677,0.187253858,0.205802596,0.251441703,0.184703997,0.234116563,0.319810203,0.153351783
44,apr_run13_9_49,0.386067709,0.377918704,0.37008956,0.353379263,0.362763186,0.375790672,0.327945262,0.088041662
45,apr_run14_1_51,0.825149853,0.795905281,0.834327644,0.848855181,0.807584698,0.679233836,0.717058077,0.561896273
46,apr_run14_10_60,0.831903624,0.846614356,0.694456732,0.634392613,0.708280648,0.798372196,0.768326803,0.347847457
47,apr_run14_11_61,0.227873788,0.222010087,0.24784164,0.190389379,0.249498917,0.192909366,0.150475215,0.031954719
48,apr_run14_12_62,0.217989631,0.215175349,0.237275492,0.190149839,0.237998273,0.181030916,0.136942381,0.015640091
49,apr_run14_2_52,0.782914454,0.769257204,0.798647129,0.826891109,0.77307409,0.636789912,0.691177826,0.506576705
50,apr_run14_3_53,0.216395119,0.229284105,0.212911143,0.216165454,0.221250594,0.163219926,0.203582869,0.103765477
51,apr_run14_5_55,0.999871423,1.01315135,0.880753893,0.729429527,0.931905336,0.828750256,0.678656619,0.188135362
52,apr_run14_6_56,0.963057128,0.981113852,0.850336058,0.69719079,0.901747828,0.799140098,0.715213347,0.240224322
53,apr_run14_9_59,0.860263555,0.865048109,0.714355967,0.653050339,0.726983967,0.811427798,0.7851404,0.344891517
54,apr_run2_1_63,0.198575911,0.198299273,0.218386945,0.171318364,0.222831247,0.166504872,0.134314916,0.034124377
55,apr_run2_10_72,0.283989663,0.320281033,0.298848718,0.263478767,0.316767355,0.196062187,0.196476994,0.027522092
