aqualog_run,aqualog_sample,campaign,site,replicate,process_replicate,sample_code,NPOC,BDOC
2,3,apr,Aguilar,1,A,apr_run2_3,,3.393
2,4,apr,Aguilar,2,A,apr_run2_4,,3.393
7,9,apr,Aguilar,1,B,apr_run7_9,,3.393
7,10,apr,Aguilar,2,B,apr_run7_10,,3.393
14,1,apr,Aguilar,1,C,apr_run14_1,,3.393
14,2,apr,Aguilar,2,C,apr_run14_2,,3.393
4,9,apr,Arlanzon,1,A,apr_run4_9,1.690,2.000
4,10,apr,Arlanzon,2,A,apr_run4_10,1.690,2.000
9,1,apr,Arlanzon,1,B,apr_run9_1,1.690,2.000
9,2,apr,Arlanzon,2,B,apr_run9_2,1.690,2.000
13,9,apr,Arlanzon,1,C,apr_run13_9,1.690,2.000
13,10,apr,Arlanzon,2,C,apr_run13_10,1.690,2.000
1,3,apr,Bernesga,1,A,apr_run1_3,,0.761
1,4,apr,Bernesga,2,A,apr_run1_4,,0.761
7,5,apr,Bernesga,1,B,apr_run7_5,,0.761
7,6,apr,Bernesga,2,B,apr_run7_6,,0.761
11,1,apr,Bernesga,1,C,apr_run11_1,,0.761
11,2,apr,Bernesga,2,C,apr_run11_2,,0.761
2,5,apr,Carrion,1,A,apr_run2_5,0.130,0.602
2,6,apr,Carrion,2,A,apr_run2_6,0.130,0.602
9,3,apr,Carrion,1,B,apr_run9_3,0.130,0.602
9,4,apr,Carrion,2,B,apr_run9_4,0.130,0.602
11,7,apr,Carrion,1,C,apr_run11_7,0.130,0.602
11,8,apr,Carrion,2,C,apr_run11_8,0.130,0.602
4,1,apr,Cea,1,A,apr_run4_1,1.105,1.286
4,2,apr,Cea,2,A,apr_run4_2,1.105,1.286
7,7,apr,Cea,1,B,apr_run7_7,1.105,1.286
7,8,apr,Cea,2,B,apr_run7_8,1.105,1.286
12,9,apr,Cea,1,C,apr_run12_9,1.105,1.286
12,10,apr,Cea,2,C,apr_run12_10,1.105,1.286
1,9,apr,Curueno,1,A,apr_run1_9,0.860,0.868
1,10,apr,Curueno,2,A,apr_run1_10,0.860,0.868
8,9,apr,Curueno,1,B,apr_run8_9,0.860,0.868
8,10,apr,Curueno,2,B,apr_run8_10,0.860,0.868
14,3,apr,Curueno,1,C,apr_run14_3,0.860,0.868
14,4,apr,Curueno,2,C,apr_run14_4,0.860,0.868
1,7,apr,Deva,1,A,apr_run1_7,0.460,0.770
1,8,apr,Deva,2,A,apr_run1_8,0.460,0.770
9,5,apr,Deva,1,B,apr_run9_5,0.460,0.770
9,6,apr,Deva,2,B,apr_run9_6,0.460,0.770
12,5,apr,Deva,1,C,apr_run12_5,0.460,0.770
12,6,apr,Deva,2,C,apr_run12_6,0.460,0.770
4,5,apr,Duero,1,A,apr_run4_5,4.350,4.714
4,6,apr,Duero,2,A,apr_run4_6,4.350,4.714
6,5,apr,Duero,1,B,apr_run6_5,4.350,4.714
6,6,apr,Duero,2,B,apr_run6_6,4.350,4.714
14,9,apr,Duero,1,C,apr_run14_9,4.350,4.714
14,10,apr,Duero,2,C,apr_run14_10,4.350,4.714
3,1,apr,Ebro,1,A,apr_run3_1,4.993,4.770
3,2,apr,Ebro,2,A,apr_run3_2,4.993,4.770
9,9,apr,Ebro,1,B,apr_run9_9,4.993,4.770
9,10,apr,Ebro,2,B,apr_run9_10,4.993,4.770
14,5,apr,Ebro,1,C,apr_run14_5,4.993,4.770
14,6,apr,Ebro,2,C,apr_run14_6,4.993,4.770
1,5,apr,Ega,1,A,apr_run1_5,3.700,3.886
1,6,apr,Ega,2,A,apr_run1_6,3.700,3.886
10,5,apr,Ega,1,B,apr_run10_5,3.700,3.886
10,6,apr,Ega,2,B,apr_run10_6,3.700,3.886
13,3,apr,Ega,1,C,apr_run13_3,3.700,3.886
13,4,apr,Ega,2,C,apr_run13_4,3.700,3.886
3,5,apr,Esla,1,A,apr_run3_5,,0.970
3,6,apr,Esla,2,A,apr_run3_6,,0.970
6,3,apr,Esla,1,B,apr_run6_3,,0.970
6,4,apr,Esla,2,B,apr_run6_4,,0.970
13,5,apr,Esla,1,C,apr_run13_5,,0.970
13,6,apr,Esla,2,C,apr_run13_6,,0.970
3,7,apr,Luna,1,A,apr_run3_7,0.780,1.058
3,8,apr,Luna,2,A,apr_run3_8,0.780,1.058
10,3,apr,Luna,1,B,apr_run10_3,0.780,1.058
10,4,apr,Luna,2,B,apr_run10_4,0.780,1.058
11,9,apr,Luna,1,C,apr_run11_9,0.780,1.058
11,10,apr,Luna,2,C,apr_run11_10,0.780,1.058
4,3,apr,Nalon,1,A,apr_run4_3,0.650,0.860
4,4,apr,Nalon,2,A,apr_run4_4,0.650,0.860
8,7,apr,Nalon,1,B,apr_run8_7,0.650,0.860
8,8,apr,Nalon,2,B,apr_run8_8,0.650,0.860
11,3,apr,Nalon,1,C,apr_run11_3,0.650,0.860
11,4,apr,Nalon,2,C,apr_run11_4,0.650,0.860
4,7,apr,Nansa,1,A,apr_run4_7,2.290,2.529
4,8,apr,Nansa,2,A,apr_run4_8,2.290,2.529
10,1,apr,Nansa,1,B,apr_run10_1,2.290,2.529
10,2,apr,Nansa,2,B,apr_run10_2,2.290,2.529
12,1,apr,Nansa,1,C,apr_run12_1,2.290,2.529
