site,Class,alteration,groups,new_design,new,Alteration_type,Catchment,Upstream_Catchment_size,Elevation_in_m
Aguilar,Mediterranean,Altered,MedAlt,south,SouthAlt,4,duero,579.87,882
Pisuerga,Mediterranean,Altered,MedAlt,south,SouthAlt,4,duero,255.53,1014
Carrion,Mediterranean,Altered,MedAlt,south,SouthAlt,5,duero,318.34,744.96
Duero,Mediterranean,Altered,MedAlt,south,SouthAlt,4,duero,590.31,1032
Ebro,Mediterranean,Altered,MedAlt,south,SouthAlt,5,ebro,473.66,802
Luna,Mediterranean,Altered,MedAlt,south,SouthAlt,5,duero,507.69,1008
Arlanzon,Temperate,Altered,TempAlt,south,SouthAlt,1,duero,173.24,1023
Esla,Temperate,Altered,TempAlt,south,SouthAlt,1,duero,612.04,1001
Nalon,Temperate,Altered,TempAlt,north,NorthAlt,2,cantabrico,356.26,317.33
Nansa,Temperate,Altered,TempAlt,north,NorthAlt,2,cantabrico,363.37,66
Narcea,Temperate,Altered,TempAlt,north,NorthAlt,2,cantabrico,1258.45,122.33
Porma,Temperate,Altered,TempAlt,south,SouthAlt,1,duero,296.46,986
Cea,Mediterranean,Natural,MedNat,south,SouthNat,3,duero,370.23,893.67
Ega,Mediterranean,Natural,MedNat,south,SouthNat,3,ebro,455.78,489
Omana,Mediterranean,Natural,MedNat,south,SouthNat,3,duero,403.74,974
Tiron,Mediterranean,Natural,MedNat,south,SouthNat,3,ebro,186.59,815
Bernesga,Temperate,Natural,TempNat,south,SouthNat,0,duero,88.95,1132
Curueno,Temperate,Natural,TempNat,south,SouthNat,0,duero,168.29,1035.33
Deva,Temperate,Natural,TempNat,north,NorthNat,0,cantabrico,647.17,23.68
Sella,Temperate,Natural,TempNat,north,NorthNat,0,cantabrico,476.28,60
